Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,60.090000,60.470001,53.189999,55.908001,55.403133,171800
2022-02-01,56.000000,56.939999,50.950001,54.209999,53.720467,133300
2022-03-01,54.360001,56.540001,51.762001,55.020000,54.523155,156300
2022-04-01,54.840000,55.429001,51.509998,51.509998,51.148613,131800
2022-05-01,51.299999,53.761002,48.000000,51.916000,51.551769,209900
2022-06-01,51.169998,52.430000,45.680000,47.209999,46.878784,145900
2022-07-01,47.240002,52.070999,46.770000,52.070999,51.898399,35300
2022-08-01,51.990002,54.570000,50.000000,50.070000,49.904030,39600
2022-09-01,49.400002,51.919998,45.159000,45.159000,45.009312,80300
2022-10-01,46.419998,49.181999,45.125999,48.881001,48.881001,24500
2022-11-01,48.919998,52.445999,47.465000,52.445999,52.445999,24500
2022-12-01,52.290001,52.689999,48.527000,48.816002,48.816002,31900
