Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,191.410004,196.100006,152.080002,171.940002,171.940002,285485800
2022-02-01,172.770004,176.199997,94.500000,111.930000,111.930000,671591400
2022-03-01,112.730003,122.809998,92.250000,115.650002,115.650002,434443300
2022-04-01,116.000000,122.917999,82.120003,87.930000,87.930000,372294900
2022-05-01,87.550003,92.849998,71.831001,85.209999,85.209999,380219000
2022-06-01,85.470001,89.320000,67.580002,69.839996,69.839996,318416300
2022-07-01,69.839996,87.620003,68.510002,86.529999,86.529999,263032100
2022-08-01,87.050003,103.029999,85.269997,93.440002,93.440002,340392900
2022-09-01,92.251999,99.300003,84.129997,86.070000,86.070000,265398400
2022-10-01,87.529999,95.570000,79.349998,83.580002,83.580002,275597700
2022-11-01,85.000000,92.620003,71.167999,78.410004,78.410004,344025000
2022-12-01,79.110001,80.746002,67.750000,68.760002,68.760002,242199400
