Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,274.410004,274.410004,232.679993,245.389999,242.081360,59949200
2022-02-01,247.050003,252.899994,231.869995,249.949997,246.579895,51893500
2022-03-01,247.559998,295.329987,245.440002,286.369995,283.688171,70542900
2022-04-01,286.149994,314.000000,276.829987,292.130005,289.394226,58093700
2022-05-01,291.230011,324.079987,283.000000,313.440002,310.504669,65899400
2022-06-01,313.440002,330.850006,283.109985,324.230011,322.275970,68043100
2022-07-01,323.880005,335.329987,315.510010,329.690002,327.703064,42678300
2022-08-01,327.510010,330.429993,296.529999,301.230011,299.414612,62148900
2022-09-01,301.000000,341.700012,296.320007,323.350006,322.450531,68982700
2022-10-01,325.989990,363.920013,317.049988,362.089996,361.082764,55840900
2022-11-01,345.829987,372.350006,340.119995,371.079987,370.047729,69742200
2022-12-01,374.790009,375.250000,354.609985,359.640015,359.640015,42965500
