Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,566.650024,575.000000,480.619995,534.299988,534.299988,84110900
2022-02-01,536.000000,540.460022,416.809998,467.679993,467.679993,70327300
2022-03-01,468.000000,479.209991,407.940002,455.619995,455.619995,98677500
2022-04-01,455.000000,473.489990,394.640015,395.950012,395.950012,54962600
2022-05-01,397.130005,428.549988,370.269989,416.480011,416.480011,72499700
2022-06-01,428.000000,441.899994,338.000000,366.059998,366.059998,71835200
2022-07-01,364.179993,414.619995,359.070007,410.119995,410.119995,46401300
2022-08-01,406.510010,451.149994,371.059998,373.440002,373.440002,51826400
2022-09-01,371.000000,396.390015,274.730011,275.200012,275.200012,124381600
2022-10-01,278.269989,330.579987,276.600006,318.500000,318.500000,82411600
2022-11-01,321.010010,350.970001,278.230011,344.929993,344.929993,70801500
2022-12-01,348.029999,355.670013,324.350006,338.220001,338.220001,51896500
